MD,WOB,RPM,TOR,MSE,ROP,WOB min,TOR max,TOR min,Rotary RPM,Diff,Surface MSE,Fm,top,bottom,ftype,Section,Start depth
1552,14.1,267.34,3.25,532.77,83.64,7.3,13.776,13.207,70.19,303.17,2111.106016,,,,,,
1552.5,17,267.69,2.93,458.75,89.12,16.8,12.015,11.912,70.25,273.86,1795.874463,,,,,,
1553,16.9,267.91,3.15,590,73.65,16,15.952,11.031,70.61,294.15,2011.214626,,,,,,
1553.5,16.3,267.48,2.38,632.79,51.52,16.2,14.087,11.86,70.19,221.89,3073.895596,,,,,,
1554,15.3,267.74,3.14,768.58,55.74,13.4,13.88,11.135,70.44,293.58,2671.476688,,,,,,
1554.5,15.4,267.99,3.89,834.19,63.54,15.3,14.76,13.725,70.84,363.58,2889.901074,,,,,,
1555,14.1,267.54,3.23,655.2,67.16,13.4,14.294,11.964,70.25,301.12,2381.181377,,,,,,
1555.5,16.4,267.74,2.37,459.58,71.61,14.7,13.155,12.533,70.3,220.82,2344.406308,,,,,,
1556,17.3,267.83,1.73,336.37,73.27,15.6,14.45,12.067,70.39,161.79,2209.227052,,,,,,
1556.5,16.9,267.62,4.1,733.05,76.54,16.2,12.689,11.394,70.47,383.06,1996.993348,,,,,,
1557,16.4,267.88,3.74,698.24,73.43,15.9,11.135,10.824,70.44,349.51,1978.887213,,,,,,
1557.5,17.1,267.8,3.91,870.68,61.2,17.1,11.757,10.462,70.36,365.2,2291.794154,,,,,,
1558,17.1,267.48,3.54,785.18,61.55,12.7,14.968,11.135,70.33,330.68,2421.190413,,,,,,
1558.5,15.1,267.66,2.66,507.85,72.23,13.6,13.984,11.498,70.36,248.18,2131.909156,,,,,,
1559,16.8,267.88,3.59,633.26,77.93,16,13.103,11.239,70.44,335.05,1937.070149,,,,,,
1559.5,16.8,267.51,2.89,557.9,71.47,16.7,12.43,10.617,70.36,269.78,1991.908849,,,,,,
1560,16.9,267.63,3.27,764.66,58.41,16.2,13.88,12.274,70.33,305.31,2810.027431,,,,,,
1560.5,17.5,272.83,3.22,875.81,51.03,16.8,16.936,16.936,75.53,300.53,4511.807847,,,,,,
1561,17.5,273.14,3.81,994,53.12,15.7,15.019,12.999,75.7,355.76,3336.470231,,,,,,
1561.5,12.7,272.94,3.15,782.45,55.73,11.3,14.864,13.517,75.36,294.55,3298.599787,,,,,,
1562,13.3,272.8,2.73,525.54,72.6,10.5,15.382,12.378,75.5,254.78,2323.122033,,,,,,
1562.5,17.5,272.63,3.11,537.54,81.5,17.5,11.601,11.083,75.33,289.9,1860.667576,,,,,,
1563,16.7,272.91,2.58,874.96,40.88,16.6,11.135,10.617,75.47,240.73,3535.626194,,,,,,
1563.5,16.2,272.83,3.02,791.02,53.11,13.8,12.948,11.239,75.53,282.31,2883.348605,,,,,,
1564,13.6,272.93,3.2,553.4,80.75,12.9,15.9,13.362,75.78,298.55,2256.695861,,,,,,
1564.5,14.1,272.72,2.98,496.36,84.39,12.8,13.362,13.207,75.42,278.64,2134.232334,,,,,,
