MD,WOB,RPM,TOR,MSE,ROP,WOB min,TOR max,TOR min,Rotary RPM,Diff,Surface MSE,Fm,top,bottom,ftype,Section,Start depth
34,1.9,145.09,0.75,39.32,69.4,0.7,5.645,3.833,45.43,70.07,195.8818014,Overview,0,6902,None,17.5,0
34.5,2,144.98,0.94,31.14,111.27,1.9,6.629,4.402,45.46,88.12,140.6032498,Section 17.5,0,530,None,12.25,530
35,2.1,144.79,0.93,28.11,122.19,2,6.733,6.06,45.27,86.86,175.7764024,Section 12.25,530,2854,None,8.5,2854
35.5,2,144.95,1,30.08,122.42,2,5.697,5.697,45.43,93.53,165.1362912,Section 8.5,2854,6902,None,,
36,2.8,145.15,1.22,37,122.55,1.8,7.303,3.781,45.63,114.31,110.5632668,Overburden,0,1488.9,Shale,,
36.5,1.8,144.73,0.87,26.29,121.79,1.6,6.37,6.37,45.21,81.35,185.0368107,Mercury Shale,1488.9,1854.4,Shale,,
37,2,144.79,0.87,26.3,122.42,1.6,5.076,4.247,45.27,81.35,123.2926573,Upper Gemini Sand,1854.4,2208.9,Sand,,
37.5,2.4,144.79,1.02,30.6,123.09,2.3,7.199,4.868,45.27,95.02,140.6272413,Middle Gemini Sand,2208.9,2412.5,Sand,,
38,3.2,159.9,1.23,39.37,127.62,2.6,8.546,5.904,60.38,114.56,181.7313903,Lower Gemini Sand,2412.5,2800.5,Sand,,
38.5,3.3,160.13,1.45,55.55,105.25,2.6,7.613,6.215,60.47,135.04,231.8049197,Aldrin Shale,2800.5,3449.4,Shale,,
39,4,176.7,2.96,134.72,95.98,2.8,9.788,4.972,60.69,275.95,224.9010126,Nebula Sand,3449.4,3599.1,Sand,,
39.5,2.5,176.34,2.5,145.9,74.16,2.4,6.37,5.852,60.33,233.26,339.6298781,Orion Sand,3599.1,3901,Sand,,
40,3,176.36,2.7,92.18,127.89,2.6,7.044,6.422,60.35,251.62,217.0398974,Lovell Limestone,3901,3918,Limestone,,
40.5,2.1,176.25,2.29,80.42,123.89,2,4.92,4.713,60.24,213.65,164.2138752,Shepard Shale,3918,3931.5,Shale,,
41,2.3,176.17,2.3,73.2,136.96,2.2,5.593,4.713,60.16,214.36,148.7292135,Apollo Limestone,3931.5,4107.2,Limestone,,
41.5,2.5,176.45,2.18,69.57,137.36,2.3,5.593,4.868,60.44,203.4,153.4972645,Armstrong Shale U,4107.2,4137.7,Shale,,
42,4.1,176.59,2.72,87.36,137.62,2.7,8.804,5.801,60.58,253.89,183.4261976,Armstrong Shale M,4137.7,4158.7,Shale,,
42.5,4.8,176.93,3.36,446.54,32.54,3.2,12.015,11.083,60.92,313.47,1467.018839,Armstrong Shale L,4158.7,6773.6,Shale,,
43,2.2,176.65,2.58,94.23,119.07,1.5,8.908,5.697,60.5,240.48,206.7257233,Armstrong Shale M,6773.6,6830.6,Shale,,
43.5,4.8,182.12,3.75,115.12,148.01,2.6,12.896,8.804,66.11,350.08,266.2069046,Apollo Limestone,6830.6,6902,Limestone,,
44,2.7,181.62,2.95,140.75,93.64,1,9.53,5.801,65.61,275.51,275.0447071,,,,,,
44.5,2.7,183.05,2.74,89.29,139.28,1.8,12.326,7.717,67.04,256.1,248.0974001,,,,,,
45,2.2,182.8,2.26,73.51,139.13,1.9,10.98,9.633,66.79,210.94,308.8672338,,,,,,
45.5,2.7,182.24,2.96,102.8,129.45,2.6,13.258,13.258,66.23,275.98,455.1414802,,,,,,
46,1.6,221.4,1.06,204.69,27.92,1.6,11.498,6.888,71.76,98.71,1327.970658,,,,,,
55.5,0.3,220.59,0.69,26.77,139.11,0.2,6.37,3.056,70.95,64.41,117.9185105,,,,,,
56.5,0.5,220.78,0.52,18.7,153.03,0.5,6.267,3.833,71.14,48.96,134.661848,,,,,,
57,0.9,220.45,0.37,13.57,152.96,0.5,8.597,4.609,70.81,34.67,161.9456326,,,,,,
57.5,1.4,220.14,0.24,9.4,152.5,0.3,6.474,5.283,70.5,22.68,186.1577213,,,,,,
58,2.5,220.42,2.16,77.22,152.62,0.7,14.657,5.593,70.78,201.27,197.8195254,,,,,,
58.5,2.5,220.73,0.9,33.57,151.05,2.3,8.546,4.247,71.09,84.14,152.3534708,,,,,,
59,3.4,221.66,0.69,27.51,146.07,0.5,12.948,3.936,72.02,64.24,147.254101,,,,,,
61,1.7,220.63,0.27,10.57,153.01,0.5,9.478,4.247,70.84,25.32,149.8453595,,,,,,
61.5,1.2,219.77,0.27,10.26,152.42,1.2,10.514,10.151,70.13,25.32,356.3386128,,,,,,
65,1.7,220.67,1.19,42.86,152.78,1.7,8.597,8.183,71.03,111.19,288.2130012,,,,,,
65.5,1.7,220.81,1.11,39.82,153.17,0.4,8.442,4.247,71.17,103.3,149.8149625,,,,,,
66,0.9,220.05,0.32,11.6,153.63,0.2,10.462,2.797,70.41,29.6,97.897293,,,,,,
71,2,225.06,0.64,24.2,152.72,1.7,8.546,7.251,75.42,59.82,260.8626442,,,,,,
71.5,2.1,225.53,0.54,20.68,153.51,2,6.681,6.215,75.89,50.62,223.1523859,,,,,,
72,2.2,225.2,0.77,27.94,158.72,2,6.681,6.111,75.56,71.91,212.0353619,,,,,,
72.5,2,225.2,0.81,28.91,160.42,2,5.852,5.283,75.56,75.67,181.4381715,,,,,,
73,1.8,224.92,0.79,27.92,160.94,1.8,6.733,5.334,75.28,73.64,182.2378983,,,,,,
73.5,1.8,224.86,0.19,7.69,160.47,1.8,6.836,6.836,75.22,17.97,233.8516085,,,,,,
74,0.4,225.39,1.39,202.7,37.63,0.3,6.06,4.558,75.75,129.89,663.5023879,,,,,,
74.5,1.9,225.34,2.1,188.6,61.33,1.9,11.135,9.788,75.7,196.01,874.899119,,,,,,
76,0.1,225.17,0.74,26.9,150.59,0.1,5.231,1.45,75.53,68.98,52.73578341,,,,,,
77,0.4,225.93,0.9,27.08,183.66,0.1,2.538,2.279,76.29,83.82,68.36200015,,,,,,
77.5,0.5,225.81,0.81,24.57,183.42,0.5,4.661,1.813,76.17,75.71,54.54060008,,,,,,
78,1.2,225.14,0.85,26.05,183.69,0.1,5.956,2.072,75.5,79.31,62.45465336,,,,,,
78.5,1.2,225.42,1.17,35.73,183.48,1.2,5.542,0.621,75.78,109.38,19.29356036,,,,,,
79,2.3,224.94,1.75,53.51,183.51,0.5,6.008,5.542,75.3,163.2,166.4883797,,,,,,
79.5,4,225.31,2.28,70.62,183.59,2.4,7.924,5.801,75.81,213.22,175.4795313,,,,,,
80,4,225.42,2.28,71,182.66,0.1,7.924,1.295,75.78,213.22,41.35368019,,,,,,
81.5,0.2,230.64,0.83,25.37,184.52,0.2,2.227,0.673,75.36,77.6,20.56303998,,,,,,
82,1.3,265.13,6.7,235.63,183.83,0.6,7.354,3.159,75.53,625.68,111.5048235,,,,,,
82.5,1.8,267.34,7.04,254.79,180.15,1.6,7.044,4.558,75.86,656.89,165.4634244,,,,,,
83,1.7,278.96,6.37,252.67,171.47,0.1,2.797,2.175,80.36,594.32,87.03790572,,,,,,
84,0.3,279.73,1.68,136.58,83.49,0.2,5.024,3.522,80.84,156.44,286.8704626,,,,,,
84.5,0.5,278.76,1.7,125.94,91.5,0.5,4.817,4.247,80.16,158.46,314.6530874,,,,,,
85,0.6,279.24,1.87,98.85,128.73,0.5,5.542,4.299,80.64,174.45,226.9319178,,,,,,
85.5,0.7,279.28,1.85,94.66,133.5,0.5,6.474,4.817,80.53,173.09,245.253162,,,,,,
86,1.3,279.22,1.91,87.76,148.78,1,4.972,3.159,80.47,178.02,144.8495459,,,,,,
86.5,1.1,279.05,1.87,76.67,166.43,0.9,5.386,5.386,80.3,174.14,220.0827658,,,,,,
87,1.5,279.02,2.02,76.6,181.24,1,6.008,5.283,80.42,188.85,198.5371945,,,,,,
87.5,1.3,278.8,1.56,58.54,183.08,1,5.438,5.334,80.05,145.65,198.1559447,,,,,,
88,1.5,279.14,1.05,39.77,183.31,1.3,6.94,5.438,80.39,97.97,202.1212914,,,,,,
90.5,1.4,278.91,0.07,3.54,183.67,1.4,5.49,5.024,80.16,6.71,186.2254527,,,,,,
91,1.4,279.46,0.94,35.75,183.69,1.1,5.852,4.143,80.42,88.08,154.0094197,,,,,,
91.5,1.3,279.14,0.64,24.48,182.96,1.3,5.904,5.904,80.39,59.59,219.651923,,,,,,
92,1.5,279.48,1.31,49.35,183.79,1.1,5.283,5.283,80.59,122.32,196.1173141,,,,,,
92.5,1.3,279.17,1.47,54.92,183.85,1.3,4.817,4.765,80.42,136.92,176.5980292,,,,,,
93,1.5,279.28,1.47,55.29,183.11,1.1,5.904,4.35,80.67,136.92,162.1267955,,,,,,
93.5,0.7,278.76,1.45,54.67,181.61,0.7,4.35,4.04,80.16,135.76,151.0947835,,,,,,
94,0.9,279.21,1.54,68.16,154.18,0.9,5.593,3.884,80.61,143.43,171.4457521,,,,,,
94.5,1,279.48,1.56,87.02,122.61,0.9,5.438,4.091,80.73,145.65,227.1757905,,,,,,
95,1.4,279.25,1.79,100.45,122.17,1,5.956,4.817,80.36,167.4,268.3762803,,,,,,
95.5,1.1,279.08,1.7,94.84,122.09,1,5.801,5.231,80.33,158.28,291.183477,,,,,,
96,1.1,279.36,1.41,78.48,122.6,1,6.267,4.868,80.61,131.19,270.1708873,,,,,,
96.5,1,278.99,1.74,97.32,122.06,1,6.267,5.179,80.39,162.57,288.2162805,,,,,,
97,1.3,279.11,1.57,87.82,122.23,1.1,7.613,5.127,80.36,146.42,285.2389973,,,,,,
97.5,1.2,279.24,1.55,86.57,122.23,1.2,6.733,5.852,80.64,144.35,325.5524664,,,,,,
98,1.9,280.07,2.3,129.43,122.15,1.3,9.685,4.454,81.18,214.92,249.3000161,,,,,,
98.5,1.6,279.1,2.04,114.1,122.38,1.4,6.681,6.319,80.5,190.57,351.1168328,,,,,,
99,1.9,279.52,1.9,106.7,122.2,1.6,6.474,5.956,80.92,177.25,332.1796765,,,,,,
99.5,2,279.19,2.02,113.17,122.27,1.9,7.82,7.51,80.59,188.34,417.8683644,,,,,,
100,2.7,279.14,2.32,130.35,122.24,2.2,11.342,8.028,80.39,216.5,447.0665191,,,,,,
100.5,2.6,279.1,2.48,139.21,122.28,2.4,9.478,8.494,80.5,231.63,472.6428489,,,,,,
101,3.3,279.31,2.54,142.92,122.25,2.7,11.498,8.338,80.56,236.89,464.8870562,,,,,,
101.5,3.1,279.62,2.85,160.6,122,2.2,12.792,12.792,80.87,266.01,714.2250386,,,,,,
102,2.5,279.19,2.27,127.2,122.37,2.2,8.338,7.665,80.44,211.6,426.4292653,,,,,,
102.5,1.8,278.82,2.08,116.28,122.38,1.7,8.96,6.629,80.22,194.22,368.05257,,,,,,
103,1.4,279.53,1.83,102.45,122.31,1.1,7.199,5.283,80.64,170.79,294.2116176,,,,,,
103.5,1.6,279.36,1.79,99.99,122.52,1.4,7.199,6.111,80.47,166.83,339.5213098,,,,,,
104,1.2,279.36,1.73,96.8,122.3,1,5.697,4.817,80.47,161.59,268.0708106,,,,,,
104.5,1.5,279.42,1.99,111.3,122.34,1.5,6.526,3.988,80.67,185.68,222.2265813,,,,,,
105,1.2,279.33,1.67,93.27,122.38,1.1,5.852,4.609,80.44,155.76,256.3335054,,,,,,
105.5,1.4,279.48,1.78,99.34,122.46,1.2,6.629,4.972,80.73,165.8,276.550574,,,,,,
106,1.5,279.45,1.87,105.09,122.22,1.3,8.597,6.111,80.56,175.04,340.4003569,,,,,,
106.5,1.8,279.27,1.93,108.77,121.91,1.7,7.303,6.163,80.67,180.57,344.1272721,,,,,,
107,1.8,279.24,1.7,95.79,122.03,1.6,8.235,5.904,80.64,158.97,329.354761,,,,,,
107.5,1.6,279.64,1.72,95.88,122.86,1.5,7.354,5.904,80.89,160.19,327.4715073,,,,,,
108,1.5,280.09,1.88,104.85,122.81,1.5,7.095,6.06,81.2,175.08,336.7174578,,,,,,
108.5,1.8,279.22,1.85,103.49,122.56,1.8,8.597,6.94,80.47,172.65,385.2425582,,,,,,
109,1.8,279.7,2.12,118.32,122.81,1.7,8.131,7.717,80.95,197.73,428.1126543,,,,,,
109.5,1.7,279.95,2.11,118.66,121.98,1.4,7.199,6.888,81.06,196.9,385.1260883,,,,,,
110,1.1,279.67,1.88,105.14,122.06,0.8,7.769,5.334,80.92,175.18,297.6024515,,,,,,
110.5,0.8,279.19,1.82,102.05,121.89,0.8,5.334,5.334,80.59,170.38,297.3225954,,,,,,
111,0.9,279.62,1.77,98.76,122.66,0.8,6.526,5.127,80.87,165.53,284.5070326,,,,,,
111.5,1.2,278.76,1.68,93.52,122.31,1,7.458,5.334,80.16,156.41,296.0988079,,,,,,
112,1,280.48,0.37,79.07,32.22,1,8.131,8.131,81.88,34.63,1720.209428,,,,,,
113,1.3,279.53,1.64,147.43,75.99,1,9.478,6.06,80.78,153.17,542.3764919,,,,,,
113.5,1.5,279.04,1.64,110.01,101.97,1.2,4.247,3.159,80.44,153.17,210.960419,,,,,,
114,1.7,279.13,1.68,84.74,136.53,1.6,6.163,4.247,80.53,157.26,212.017128,,,,,,
114.5,1.8,278.99,1.84,91.87,137.61,1.7,6.06,4.454,80.53,172,220.5106445,,,,,,
115,2,279.48,1.25,62.7,137.95,1.8,6.008,5.231,80.73,116.54,258.725045,,,,,,
115.5,1.8,278.97,1.58,79.1,137.39,1.8,6.629,5.024,80.22,147.55,248.9637974,,,,,,
116,1.8,279.05,1.45,72.52,137.45,1.8,5.283,4.558,80.3,135.12,225.9430283,,,,,,
118,1.8,279.04,0.66,33.53,137.99,1.6,5.334,4.92,80.44,61.56,242.8423878,,,,,,
118.5,1.7,279.42,1.06,53.23,138.29,1.7,5.334,3.884,80.67,99.2,191.7262875,,,,,,
119,1.7,279.34,1.32,65.9,137.84,1.6,5.283,3.936,80.59,122.93,194.8540345,,,,,,
119.5,1.8,279.25,1.43,71.21,138.15,1.7,4.972,3.159,80.5,133.22,156.2644746,,,,,,
120,1.8,279.25,1.53,76.95,137.3,1.8,4.868,3.522,80.5,143.26,175.1607975,,,,,,
120.5,2.1,279.02,1.28,64.6,137.54,1.9,6.629,6.629,80.42,119.86,328.0321048,,,,,,
121,2.1,279.1,1.61,80.29,137.86,2,5.956,4.817,80.5,149.89,238.2459774,,,,,,
121.5,2.1,279.11,1.72,86.08,137.35,2,4.817,4.506,80.36,160.28,223.7775453,,,,,,
122,2.2,279.48,1.8,90.67,137.05,2.1,5.801,4.972,80.73,168.25,247.7094445,,,,,,
122.5,2.2,279.02,1.52,76.31,137.64,2.1,7.044,6.37,80.42,142.03,315.1026033,,,,,,
123,1.9,279.66,1.56,78.29,137.78,1.6,6.37,5.645,81.06,145.95,279.5641165,,,,,,
123.5,1.8,279.38,1.52,76.15,137.62,1.7,7.354,3.884,80.78,142.01,192.6940684,,,,,,
124,1.8,279.13,1.28,64.26,137.37,1.6,5.283,3.004,80.53,119.39,149.429811,,,,,,
124.5,2,279.28,1.08,54.66,137.36,1.7,5.645,3.884,80.53,100.92,193.1116585,,,,,,
125,2,279.19,1.39,69.79,137.56,1.9,6.319,6.008,80.44,129.76,297.4983479,,,,,,
125.5,2.1,279.19,1.39,69.87,137.38,2,4.817,3.315,80.44,129.62,164.9928585,,,,,,
126,2.1,279.36,1.5,75,137.87,1.9,5.904,4.04,80.47,139.72,200.2022987,,,,,,
126.5,2,279.39,1.39,70.15,137.4,1.8,6.06,6.06,80.5,130.2,300.6274932,,,,,,
127,2,279.22,1.39,70.02,137.58,1.9,5.645,5.024,80.47,130.2,248.9697219,,,,,,
127.5,2,279.22,1.38,68.96,137.96,2,5.386,4.713,80.47,128.55,232.9959717,,,,,,
128,2.1,279.22,1.43,71.89,137.81,1.9,6.577,4.713,80.47,133.85,233.3113973,,,,,,
128.5,2,279.13,1.39,69.79,137.69,1.8,6.215,4.868,80.53,129.9,241.0125388,,,,,,
129,1.9,279.1,1.3,65.22,137.53,1.7,6.267,3.988,80.5,121.23,197.8179449,,,,,,
129.5,1.8,278.76,1.17,58.75,137.25,1.8,5.438,5.438,80.16,109.02,269.4626454,,,,,,
130,1.8,279.08,1.34,67.16,137.57,1.8,5.49,4.661,80.33,125.07,230.8486341,,,,,,
130.5,1.9,279.17,1.39,69.66,137.68,1.8,5.749,5.645,80.42,129.76,279.2726645,,,,,,
131,2.1,279.11,1.47,73.77,137.37,2.1,6.215,5.231,80.36,137.03,259.5329979,,,,,,
131.5,2.4,279.05,1.55,77.85,137.82,2.3,5.593,4.35,80.3,144.89,215.4874313,,,,,,
132,2.5,279.48,1.77,89.01,137.8,2.2,6.785,5.283,80.87,165.67,261.8793014,,,,,,
132.5,2.3,279.11,1.62,81.19,137.88,2.2,4.972,4.506,80.36,151.38,223.0488544,,,,,,
133,2.3,279.34,1.58,79.07,137.82,2.1,6.215,4.713,80.59,147.17,233.5206491,,,,,,
133.5,2.2,278.74,1.44,72.26,137.5,2.1,6.215,5.127,80.14,134.35,253.8917958,,,,,,
134,2.3,279.04,1.57,78.47,137.79,2.2,6.785,4.35,80.44,146.15,215.467432,,,,,,
134.5,2.3,278.71,1.57,78.66,137.96,2.3,5.49,5.024,80.11,146.87,248.0307643,,,,,,
135,2.3,279.21,1.72,86.46,137.56,2.1,4.972,4.609,80.61,160.95,228.7273829,,,,,,
135.5,2.4,278.71,1.51,75.73,137.34,2.3,5.593,4.972,80.25,140.55,246.6366127,,,,,,
136,2.7,279.66,1.86,93.83,137.44,2.6,5.593,4.402,81.06,173.99,219.311187,,,,,,
136.5,2.7,279.14,1.66,83.38,137.56,2.6,6.526,6.215,80.39,154.68,308.0904946,,,,,,
137,2.9,278.88,1.89,94.92,137.78,2.6,8.183,6.215,80.28,176.74,307.4470411,,,,,,
137.5,3.1,279.11,1.89,95.74,136.87,3.1,7.251,7.251,80.36,176.74,361.1768196,,,,,,
138,3,279.02,2.2,110.28,137.62,2.7,8.183,6.629,80.42,205.44,328.4128912,,,,,,
138.5,3,279.22,2.24,112.2,137.53,2.9,6.008,6.008,80.47,208.8,298.2267618,,,,,,
139,3,279.07,2.03,102.16,137.35,2.2,8.028,4.972,80.47,189.64,247.3213411,,,,,,
139.5,2.7,278.74,2.14,107.48,137.06,2,8.235,6.008,80.14,199.87,298.5463524,,,,,,
140,2.8,278.93,2.14,107.33,137.42,2.5,8.235,5.593,80.47,199.87,277.5633832,,,,,,
140.5,3.2,279.04,1.84,92.73,137.37,1.8,8.701,5.49,80.44,171.62,272.9468055,,,,,,
141,2.9,278.65,1.23,324.82,25.72,2.9,6.785,6.785,80.05,114.57,1787.659664,,,,,,
142,2.9,279.44,1.67,131.43,87.54,1.4,5.904,5.904,80.84,156.02,459.6923493,,,,,,
142.5,1.2,279.31,1.67,148.77,76.61,1.1,5.076,5.076,80.56,156.02,450.3470593,,,,,,
143,1.2,279.16,1.54,136.73,76.76,1,6.111,5.386,80.56,143.68,476.6258129,,,,,,
143.5,0.9,279.21,1.36,120.86,76.68,0.9,4.765,3.522,80.61,126.96,312.1291503,,,,,,
144,1.8,279.04,1.61,129.18,85.5,0.9,6.111,3.781,80.44,150.77,300.9233176,,,,,,
144.5,2,279.19,1.61,97.35,113.99,2,5.542,4.868,80.59,150.77,290.9216378,,,,,,
145,2,278.99,1.75,98.33,122.19,1.9,5.386,4.661,80.39,163.38,259.8088885,,,,,,
145.5,2,279.16,1.56,87.27,122.72,1.9,5.024,4.661,80.56,145.3,258.8476187,,,,,,
146,2,279.1,1.61,90.36,122.24,2,5.645,4.817,80.5,149.97,268.4581989,,,,,,
147.5,1.5,242,0.99,176.83,33.02,1.5,4.558,4.299,75.36,92.23,766.3767594,,,,,,
148,1.6,241.97,1.1,71.49,91.51,1.5,6.111,4.868,75.33,102.43,313.7217354,,,,,,
148.5,1.5,242.2,1.58,103.05,91.32,1.4,6.681,4.402,75.56,147.94,284.5813171,,,,,,
149,2,242.22,1.69,109.22,91.95,1.5,7.303,5.49,75.58,157.49,352.6055985,,,,,,
149.5,1.6,242.22,1.54,99.65,91.62,1.5,5.386,3.936,75.58,143.39,253.809269,,,,,,
150,1.9,242.03,1.58,102.31,91.82,1.7,5.852,4.868,75.39,147.41,312.9328371,,,,,,
150.5,1.9,242.31,1.7,109.83,92.01,1.7,6.888,4.04,75.81,158.53,259.6699296,,,,,,
151,1.9,242.06,1.6,103.87,91.44,1.5,5.697,4.506,75.42,149.05,290.9864967,,,,,,
151.5,2.1,242.19,1.8,112.96,94.63,1.9,5.645,5.593,75.7,167.63,349.0860344,,,,,,
152,2.8,242.06,2.08,103.94,119.79,2.5,6.992,5.593,75.42,194.31,276.3352237,,,,,,
152.5,3,241.61,2.26,110.7,122.17,2.9,6.733,6.215,75.11,211.43,300.4909119,,,,,,
153,3,242.03,2.18,106.67,122.33,2.7,7.251,5.801,75.39,203.51,280.725011,,,,,,
153.5,2.9,242.06,2.15,105.07,122.37,2.9,7.095,5.801,75.42,200.57,280.6052223,,,,,,
154,2.7,241.92,2.09,102.64,121.83,2.6,6.111,5.076,75.28,195.34,246.5760871,,,,,,
154.5,3.2,241.92,2.18,106.62,122.45,3.2,7.303,7.303,75.28,203.47,352.5427076,,,,,,
155,2.7,241.97,2.11,102.83,122.57,2.5,6.111,5.697,75.33,196.86,274.9326632,,,,,,
155.5,2.7,241.8,2.16,105.69,122.11,2.7,6.785,6.267,75.16,201.81,303.1899795,,,,,,
156,3.1,242.17,2.43,119.05,122.25,2.7,8.338,6.785,75.53,227.15,328.487041,,,,,,
156.5,3.1,242.11,2.27,111.44,121.87,3,7.613,7.303,75.47,211.79,354.4243005,,,,,,
157,3.1,242.11,2.32,113.12,122.52,2.9,7.613,6.577,75.47,216.18,317.7012806,,,,,,
157.5,3.3,242.14,2.48,121.21,122.45,3.3,7.769,6.474,75.5,231.51,313.0991523,,,,,,
158,2.9,242.25,2.23,109.42,122.17,2.7,6.785,5.852,75.61,208.51,283.7375572,,,,,,
158.5,2.9,241.66,2.11,103.03,122.32,2.7,7.147,6.422,75.02,196.85,310.0639278,,,,,,
159,2.9,241.83,2.23,108.92,122.1,2.8,6.474,6.163,75.19,207.79,298.3743594,,,,,,
159.5,3.2,241.77,2,98.24,121.79,2.8,6.733,6.267,75.13,186.27,304.25852,,,,,,
160,2.8,241.86,2.29,111.34,122.78,2.5,6.888,6.319,75.22,213.77,304.1709125,,,,,,
160.5,2.5,242.09,1.95,95.42,122.04,2.5,6.319,5.283,75.3,181.81,256.171639,,,,,,
161,3.2,241.94,2.02,98.77,122.71,2.6,6.629,5.076,75.3,188.57,245.1561099,,,,,,
161.5,3.2,241.96,2.29,112.1,122.32,2.9,7.303,6.629,75.47,213.85,320.588853,,,,,,
162,3.1,241.8,2.23,109.13,122.49,3,7.872,6.888,75.16,208.64,332.288955,,,,,,
162.5,2.9,241.71,2.22,107.95,122.59,2.9,6.577,5.852,75.22,206.83,282.1500419,,,,,,
163,0.8,242.5,1.23,59.81,122.36,0.7,5.749,2.227,75.86,115,107.7287214,,,,,,
163.5,1.2,242.76,1.16,56.49,122.26,1.1,5.283,4.454,76.12,107.86,215.611642,,,,,,
164,1.1,242.48,1.17,56.95,122.37,1,6.008,4.506,75.84,109.1,217.6109682,,,,,,
164.5,2.1,242.87,1.9,92.78,122.28,0.9,7.872,7.82,76.23,176.96,378.6596511,,,,,,
165,3.4,243.49,2.46,121.21,122.14,2.1,5.542,4.92,76.85,229.52,240.428536,,,,,,
165.5,2.9,241.58,1.97,96.27,122.17,2.8,6.06,6.06,75.08,183.54,292.9447052,,,,,,
166,3,242.03,2.26,110.06,122.7,2.9,6.319,5.231,75.39,210.74,252.569372,,,,,,
166.5,3.4,241.92,2.24,109.59,122.44,3.3,8.39,6.267,75.28,208.98,302.969007,,,,,,
167,3.6,242.22,2.29,112.5,122.26,2.7,8.39,7.095,75.58,213.81,343.7643259,,,,,,
167.5,2.5,241.77,2.46,120.01,122,2.2,7.717,6.526,75.13,229.66,315.7672603,,,,,,
168,2.5,247.06,2.09,103.91,122.3,1.6,6.474,5.904,80.42,194.67,291.3285085,,,,,,
168.5,1.8,247.03,1.75,87.14,122.08,0.6,6.733,3.988,80.39,163.34,197.1841469,,,,,,
169,2.4,247.03,2.16,107.48,122.26,2.3,6.785,4.817,80.39,201.54,237.9676093,,,,,,
169.5,2.2,247.59,1.73,86.43,122.34,1,6.111,5.49,80.95,161.49,271.3108905,,,,,,
173,0.9,247.59,0.55,61.41,54.45,0.4,6.008,1.916,80.95,51.42,212.2243594,,,,,,
175,0.7,278.74,4.62,256.57,122.21,0.6,7.147,5.542,80.28,431.57,307.5220261,,,,,,
175.5,0.7,279.55,6.31,350.55,122.45,0.4,4.506,2.434,80.95,589.35,135.4397357,,,,,,
176,1.3,279.41,6.71,365.23,125.04,0.6,10.824,5.49,80.81,626.71,298.8579664,,,,,,
176.5,1.4,280.04,7.06,359.8,133.76,1.4,7.665,5.179,81.29,658.85,264.2948828,,,,,,
177,2.4,280.42,7.14,358.18,136.34,1.2,14.087,5.852,81.82,666.41,293.9278987,,,,,,
177.5,2.2,278.68,7.42,369.09,136.55,2.1,5.386,5.386,80.08,692.4,268.4337319,,,,,,
178,2.3,278.88,7.32,366.28,136,2.1,5.645,4.091,80.28,683.73,205.255943,,,,,,
178.5,2.6,278.9,7.61,383.5,134.99,2.6,6.422,5.904,80.3,710.27,297.987876,,,,,,
179,3.1,279.04,7.58,385.7,133.94,3.1,6.836,5.904,80.44,707.87,300.7769199,,,,,,
179.5,3.1,279.34,7.74,426.71,123.62,3,8.183,8.183,80.59,722.38,451.1747022,,,,,,
180,3.1,279.36,7.8,457.45,116.16,2.8,7.872,5.076,80.61,727.87,298.5290241,,,,,,
180.5,3.1,279.8,7.99,479.63,113.75,3.1,7.251,5.801,81.2,746.29,348.6165667,,,,,,
181,3.2,279.56,7.89,489.54,109.89,3.1,9.374,6.474,80.67,736.45,402.1460238,,,,,,
181.5,3.1,278.96,7.66,465.14,112.02,3,9.996,7.769,80.36,714.79,471.9781746,,,,,,
182,3.2,258.45,5.64,283.99,125.49,2.8,8.442,8.079,80.39,526.15,406.2492937,,,,,,
182.5,2.8,247.06,1.87,90.06,127.12,2.6,6.629,6.163,80.42,174.58,292.7606168,,,,,,
183,2.4,247.1,1.79,88.2,123.97,2.3,7.458,6.888,80.61,167.12,335.0622949,,,,,,
188,1.6,213.37,0.23,16.7,76.63,1.5,7.095,5.904,80.73,21.65,400.3914384,,,,,,
188.5,1.8,213.08,0.86,64.21,70.41,1.7,7.406,6.37,80.44,80.09,469.4692209,,,,,,
189,2.7,213.48,1.25,70.95,93.88,2.1,9.167,4.402,80.84,117.03,244.8930359,,,,,,
189.5,2.9,213.34,1.18,60,105.34,2.7,7.251,6.733,80.84,110.38,333.1043934,,,,,,
190,2.7,212.8,1.18,58.66,107.32,2.4,6.37,5.904,80.3,110.39,286.1092195,,,,,,
190.5,2.5,212.83,1.04,51.85,106.55,2.4,6.215,5.283,80.19,96.71,257.9490566,,,,,,
191,2.5,212.61,0.98,48.5,107.51,2.3,6.267,5.593,80.11,91.18,270.2853026,,,,,,
191.5,2.3,212.75,0.81,38.96,111.75,2.2,6.267,5.645,80.25,75.72,262.538999,,,,,,
192,2.7,213,0.92,43.19,114.68,2.3,6.888,6.06,80.36,85.83,275.1514954,,,,,,
192.5,2.5,212.75,0.79,35.66,119.57,2.5,6.163,5.593,80.25,73.62,243.3423852,,,,,,
193,2.4,213.2,0.63,28.18,122.2,2.3,6.06,5.024,80.56,58.74,214.4636333,,,,,,
193.5,2.5,212.78,0.73,32.76,121.82,2.4,6.215,4.972,80.28,68.61,212.5593131,,,,,,
194,2.6,212.94,0.53,23.99,122.02,2.4,6.008,5.645,80.3,49.21,240.9724357,,,,,,
194.5,2.6,212.78,0.72,32.2,122.42,2.6,6.526,6.008,80.14,67.56,255.3393926,,,,,,
