MD,WOB,RPM,TOR,MSE,ROP,WOB min,TOR max,TOR min,Rotary RPM,Diff,Surface MSE,Fm,top,bottom,ftype,Section,Start depth
43.5,2.2,160.40866,0.771714581,24.96063039,127.59,1.4,5.438,5.438,60.89,72.05,167.4820631,,,,,,
51.5,0.2,150.06866,0.279445294,6.999423905,148.23,0.1,3.988,2.9,50.55,26.09,71.45267569,,,,,,
52,0.2,150.09866,0.279445294,6.967108861,148.96,0.1,2.279,1.036,50.58,26.09,25.48728852,,,,,,
52.5,0.2,150.07308,0.450068656,11.14128866,148.97,0.1,3.729,3.418,50.41,42.02,83.7778933,,,,,,
53,0.1,150.14866,0.404761888,10.01902926,148.3,0.1,4.972,3.056,50.63,37.79,75.23091375,,,,,,
53.5,0.1,149.69866,0.238101529,5.886464424,148.7,0.1,1.502,1.088,50.18,22.23,26.67250158,,,,,,
54,1,160.37866,0.737332849,20.00099915,148.32,0.2,12.171,9.685,60.86,68.84,255.047825,,,,,,
54.5,0.3,160.23866,0.411938137,12.45049043,130.79,0.3,2.331,2.227,60.72,38.46,66.47388916,,,,,,
55,0.6,160.12866,0.474060893,14.78675056,128,0.2,5.749,3.211,60.61,44.26,97.96733003,,,,,,
55.5,0.5,159.81866,0.525794154,16.21272592,128.42,0.3,5.542,2.227,60.3,49.09,67.6466184,,,,,,
56,0.6,160.03866,0.460351044,17.63387216,103.73,0.3,8.546,2.641,60.52,42.98,99.36810547,,,,,,
56.5,2.1,159.78866,0.922844251,28.64018813,131.16,0.3,5.645,2.693,60.27,86.16,81.03083169,,,,,,
57,2.2,160.26866,1.364130035,32.40528443,171.25,0.5,9.944,4.247,60.75,127.36,97.95046826,,,,,,
57.5,2.2,159.81866,1.532611234,34.34821759,180.55,0.9,4.35,3.625,60.3,143.09,79.34382084,,,,,,
58,6.1,160.23866,2.383371666,54.28735149,183.97,1.1,11.239,6.008,60.72,222.52,130.9849002,,,,,,
58.5,6.6,159.9975,3.141804831,81.63423812,157.65,4.7,12.171,12.171,60.19,293.33,304.255156,,,,,,
59,4.3,159.98866,2.775816111,92.6774796,119.93,2.5,11.29,6.629,60.47,259.16,217.5534309,,,,,,
59.5,4,159.84866,2.835475379,126.6250616,88.73,4,12.171,11.342,60.33,264.73,498.9210774,,,,,,
60,3.4,161.02866,2.259019046,66.37339095,137.6,1.3,9.167,6.94,61.51,210.91,199.4553931,,,,,,
60.5,1.1,159.86866,1.003068293,26.90976885,148.61,0.9,6.733,3.47,60.35,93.65,91.38161914,,,,,,
61,0.6,160.07308,0.549465066,12.15066866,181.52,0.4,4.868,1.398,60.41,51.3,30.32930292,,,,,,
61.5,0.6,159.72866,0.457137798,10.05671946,183.3,0.4,3.781,3.107,60.21,42.68,66.15394476,,,,,,
62,0.9,185.8693,3.945330547,97.22721974,184.31,0.5,7.769,1.295,60.78,368.35,32.29555865,,,,,,
65,2.8,197.91396,2.059797794,162.7010426,61.54,0.4,4.506,3.833,65.27,192.31,301.2409542,,,,,,
65.5,2.1,197.74396,1.624510069,108.7625338,72.64,2.1,7.406,7.406,65.1,151.67,491.1158594,,,,,,
66,2.1,198.25396,1.710303738,58.38106779,144.38,1.9,8.494,6.474,65.61,159.68,217.2930346,,,,,,
66.5,1.9,198.00396,1.841404174,50.24121517,180.62,1.9,6.785,3.625,65.36,171.92,97.74215387,,,,,,
67,1.8,198.33396,1.233779356,33.55154654,183.4,1,6.733,3.263,65.69,115.19,86.86351649,,,,,,
67.5,0.6,197.99954,0.714733019,19.12916799,183.36,0.6,5.801,5.801,65.5,66.73,152.5600757,,,,,,
68,0.5,198.19396,0.714733019,18.96336247,184.55,0.1,3.107,1.916,65.55,66.73,50.30441753,,,,,,
68.5,0.2,198.10954,0.030525837,0.925937092,183.75,0.2,2.641,1.968,65.61,2.85,51.67308842,,,,,,
69,0.3,198.50396,0.415794032,11.14066289,183.1,0.2,5.438,2.227,65.86,38.82,58.8437382,,,,,,
69.5,0.5,198.42396,0.630974406,16.88248294,183.6,0.4,3.107,3.107,65.78,58.91,81.89160068,,,,,,
70,0.4,197.97396,0.606875061,16.22260761,182.77,0.3,5.024,2.59,65.33,56.66,68.40823886,,,,,,
70.5,2.9,197.88396,1.60244578,43.89417068,183.15,2.6,8.804,7.82,65.24,149.61,207.0944725,,,,,,
71,3.4,198.04954,1.851365237,50.8297125,182.98,2.9,9.115,6.474,65.55,172.85,172.3804232,,,,,,
71.5,3.3,202.74396,1.492445659,42.62459364,181.33,1.7,8.338,7.665,70.1,139.34,210.2890064,,,,,,
72,3.5,203.08396,1.795026324,50.91205955,181.85,3.5,9.219,7.769,70.44,167.59,212.9897835,,,,,,
72.5,3.2,203.05396,1.614227682,45.57372415,182.84,3.2,7.872,7.872,70.41,150.71,214.4068711,,,,,,
73,3.5,203.17396,1.73215381,50.0424841,178.75,3.2,7.82,7.044,70.53,161.72,196.7205561,,,,,,
73.5,3.8,202.83396,1.792562835,53.03248074,174.46,3.4,9.271,7.251,70.19,167.36,207.2063683,,,,,,
74,3.8,202.77396,2.062154175,52.28375084,203.65,3.4,11.342,8.442,70.13,192.53,206.6085281,,,,,,
74.5,0.3,204.52396,0.187546458,4.761114689,203.84,0.2,6.163,6.163,71.88,17.51,150.4154324,,,,,,
75,0.6,203.83954,0.777498424,18.58094661,211.53,0.5,11.342,2.641,71.34,72.59,62.20679968,,,,,,
75.5,0.5,203.58954,0.777498424,18.29652183,213.87,0.3,5.593,4.143,71.09,72.59,96.12760898,,,,,,
76,1.7,214.42698,1.627616207,40.61311337,214.44,0.3,10.462,1.45,70.5,151.96,36.29838034,,,,,,
76.5,0.8,219.96186,2.168405509,54.59411097,214.23,0.8,6.733,1.813,70.61,202.45,45.72890239,,,,,,
77,1.4,220.84236,3.007705364,76.13878119,214.43,0.5,7.561,2.797,71.2,280.81,70.86684515,,,,,,
77.5,0.5,220.00236,2.691629066,67.89081329,212.89,0.4,4.609,2.227,70.36,251.3,56.22604386,,,,,,
78,0.4,220.03236,2.457918974,61.79228024,213.5,0.2,5.127,4.402,70.39,229.48,110.4666958,,,,,,
78.5,3.4,219.97236,3.377764195,86.27778064,214.56,0.4,12.171,6.267,70.33,315.36,158.2392543,,,,,,
79,0.6,220.19236,2.779993331,67.59024235,221.26,0.4,6.992,1.761,70.55,259.55,42.95434496,,,,,,
79.5,0.6,220.50236,2.779993331,64.11304988,233.66,0.5,6.992,3.47,70.86,259.55,79.93208043,,,,,,
80,0.7,220.05236,2.814482171,62.4214475,242.76,0.5,6.215,0.518,70.41,262.77,11.84949903,,,,,,
80.5,2.5,219.46236,3.256196388,72.76257373,243.89,2.5,12.171,5.283,69.82,304.01,117.0698882,,,,,,
81,1.2,219.77236,2.498834306,55.28288881,244.69,0.7,6.37,4.868,70.13,233.3,106.9780618,,,,,,
81.5,0.3,224.52236,2.39086924,52.59070851,248.87,0.3,4.299,3.677,74.88,223.22,80.77907327,,,,,,
82,0.5,224.92236,2.39086924,50.14548687,262.18,0.4,3.522,1.398,75.28,223.22,29.45251651,,,,,,
82.5,2.4,224.91628,3.041658664,63.50590017,268.11,0.5,9.374,4.868,75.42,283.98,100.7268571,,,,,,
83,3.6,225.56236,3.759712036,77.41985323,274.17,3.1,10.306,8.183,75.92,351.02,165.8274567,,,,,,
83.5,3.3,225.08236,3.769458883,77.05147661,274.95,3.3,7.458,7.458,75.44,351.93,150.4082249,,,,,,
84,3.9,224.83236,3.540461551,72.60432854,275.71,3.3,8.442,8.442,75.19,330.55,169.7081723,,,,,,
84.5,3.8,224.77236,3.71665454,76.2638486,274.77,3.7,10.462,5.386,75.13,347,109.4393518,,,,,,
85,4.1,225.79236,3.839079213,79.34718019,274.36,3.7,9.581,5.801,76.15,358.43,118.5726022,,,,,,
85.5,4.4,225.79236,3.94693717,82.29604074,272.28,4.4,8.338,8.338,76.15,368.5,170.7588769,,,,,,
86,4.2,225.22236,3.94693717,82.78113364,269.52,4.1,8.338,7.095,75.58,368.5,146.6900723,,,,,,
86.5,4.2,224.94236,4.025340372,84.8660154,267.57,3.8,11.239,5.956,75.3,375.82,124.2969663,,,,,,
87,3.3,225.42236,3.956684016,82.2051139,270.45,2.7,9.115,5.542,75.78,369.41,114.3064827,,,,,,
87.5,2.7,224.97236,3.379477926,69.69467995,271.67,2.7,12.171,5.542,75.33,315.52,113.2003375,,,,,,
88,3.1,225.90236,4.37654816,89.31581437,274.95,2.9,12.171,11.083,76.26,408.61,223.1778919,,,,,,
88.5,2.7,225.35628,3.719867786,75.7276203,275.13,1.8,11.083,9.219,75.86,347.3,185.1543915,,,,,,
89,4.1,225.11236,3.54292504,72.94093072,275.42,4,11.239,6.888,75.47,330.78,139.3622394,,,,,,
89.5,4.2,224.80236,4.035087219,83.28999174,273.29,4.2,7.199,7.199,75.16,376.73,146.51652,,,,,,
90,4.9,225.28236,4.178505098,86.93311946,272.78,4.3,7.095,6.422,75.64,390.12,131.9460673,,,,,,
90.5,4.4,224.88794,4.027589645,86.81489432,261.85,4.4,7.095,7.095,75.39,376.03,150.8153659,,,,,,
91,4.9,225.39236,4.027589645,92.75319789,245.98,4.3,8.701,7.872,75.75,376.03,178.3321253,,,,,,
91.5,4.3,224.86236,3.732934986,91.9184033,228.61,4.2,8.494,5.852,75.22,348.52,142.5548857,,,,,,
92,4.3,247.03076,3.602370091,101.9785387,217.8,1.8,7.147,4.713,80.39,336.33,132.5812729,,,,,,
93.5,0.2,247.06076,0.634401869,59.44603828,64.19,0.1,3.988,3.833,80.42,59.23,358.5304535,,,,,,
94,1.1,247.14076,0.230175522,23.14444226,61.56,0.7,5.542,5.231,80.5,21.49,510.8807488,,,,,,
96,4.5,246.91468,0.65100364,23.53397594,188.74,3.3,9.84,8.287,80.42,60.78,266.2209015,,,,,,
96.5,4.5,247.14076,1.080828846,37.34309943,188.1,4.2,8.028,7.665,80.5,100.91,247.5052001,,,,,,
97,4.6,247.93518,1.122065503,41.61581147,174.6,4.1,10.151,8.96,81.15,104.76,312.007446,,,,,,
97.5,6.7,245.85076,1.510332728,52.19887982,188.07,6.7,12.171,12.171,79.21,141.01,390.7576951,,,,,,
98,6.8,246.75076,2.347276203,79.06669874,188.19,6.1,12.171,12.171,80.11,219.15,391.9884895,,,,,,
98.5,4.6,246.37634,2.342349226,123.3331378,116.42,4.6,13.103,13.103,79.88,218.69,676.5655908,,,,,,
99,5.1,247.03076,2.099213612,82.7414373,158.43,4.6,12.015,10.151,80.39,195.99,387.7440529,,,,,,
99.5,5.2,246.46026,2.431034815,71.20232879,214.32,4.8,12.689,9.944,80.11,226.97,281.0930717,,,,,,
100,5.8,247.06076,3.112135859,74.89232834,262.25,4.8,13.776,11.86,80.42,290.56,275.1033642,,,,,,
100.5,6.7,247.14076,3.361590857,82.89902188,256.57,6.4,12.326,12.326,80.5,313.85,292.6760267,,,,,,
101,6.5,247.03076,3.052262375,96.27681211,198.74,6.3,15.434,12.119,80.39,284.97,370.0648718,,,,,,
101.5,6.1,246.85634,2.529360143,96.43824971,163.84,5.9,11.653,11.653,80.36,236.15,430.3949697,,,,,,
102,5.5,247.11076,1.855756673,70.92942148,165.16,3.5,9.633,7.303,80.47,173.26,268.9276317,,,,,,
102.5,4.4,246.77468,1.432143742,45.91707397,199.04,3,9.322,7.303,80.28,133.71,222.7484752,,,,,,
103,4.4,246.92076,1.406437774,35.96224483,254.26,3.1,9.996,7.095,80.28,131.31,170.1706706,,,,,,
103.5,3.6,246.74468,1.222532995,29.38394092,270.33,3.6,8.649,7.82,80.25,114.14,175.6786053,,,,,,
104,5.1,246.72076,1.820625184,42.96546621,274.58,3.5,7.82,7.095,80.08,169.98,158.0999689,,,,,,
104.5,3.3,246.63468,1.135989569,26.83200022,275.05,3.1,7.251,6.94,80.14,106.06,153.2673125,,,,,,
105,5,246.75076,1.253380156,30.48139551,275,3.7,10.928,6.94,80.11,117.02,154.4402939,,,,,,
105.5,6,247.06076,1.985143379,47.23584799,274.26,5.9,11.601,10.876,80.42,185.34,241.8088658,,,,,,
106,5.5,247.16634,2.038697479,53.9338879,242.61,5.3,11.135,10.306,80.67,190.34,258.5511011,,,,,,
106.5,5.3,246.96026,1.528862447,45.5514202,217.35,5,10.462,9.581,80.61,142.74,267.8191026,,,,,,
107,4.9,246.6391,1.798668003,44.92750123,257.64,4.6,10.514,9.322,80,167.93,219.8946725,,,,,,
107.5,5.5,246.79026,2.037626397,47.09712081,280.06,5.2,10.514,10.514,80.44,190.24,228.5587176,,,,,,
108,5.2,256.91736,2.408863418,55.45841599,288.18,4.8,12.171,10.876,80.3,224.9,238.8434482,,,,,,
108.5,4.2,277.72592,4.465876399,106.7461952,289.47,4.1,10.255,10.255,80,416.95,241.6808125,,,,,,
109,3.2,279.16848,6.298497701,149.5818708,289.49,2.4,9.322,6.629,80.42,588.05,157.324795,,,,,,
109.5,3.4,278.70632,6.249335037,154.1857328,278.31,3.4,8.235,7.095,80.25,583.46,174.7595108,,,,,,
110,3.1,278.91014,6.319812233,161.9572904,267.64,3,7.251,7.199,80.16,590.04,184.2156229,,,,,,
110.5,3.4,278.2819,5.72611148,143.4529297,273.96,3.4,7.561,6.785,79.97,534.61,169.5833111,,,,,,
111,3.6,279.38848,6.424564052,154.0919255,287.23,3.1,7.872,6.06,80.64,599.82,145.4770254,,,,,,
111.5,3.2,278.7424,6.213989331,147.22435,289.8,3.1,6.785,6.526,80.14,580.16,154.5150932,,,,,,
112,4.5,279.24572,6.213989331,147.1034298,292.22,4.3,8.649,5.127,80.64,580.16,121.8686466,,,,,,
112.5,4.6,279.27406,6.792052287,160.3062847,292.77,4.6,7.406,5.127,80.67,634.13,121.7202982,,,,,,
113,4.5,278.7519,6.792052287,160.5683406,291.62,4.3,9.063,6.94,80.44,634.13,164.0039714,,,,,,
113.5,4.3,279.03014,6.641779482,158.2852251,289.41,4.2,9.737,9.737,80.28,620.1,230.7833687,,,,,,
114,4.5,278.8824,6.306852141,150.5804136,289.23,4.1,9.84,6.422,80.28,588.83,153.2777266,,,,,,
114.5,4.9,278.5424,5.60058067,134.1290007,289.23,4.9,9.84,9.84,79.94,522.89,233.3153848,,,,,,
115,4.8,279.02406,6.219880282,148.7210824,289.4,4.5,9.996,9.685,80.42,580.71,229.8842668,,,,,,
115.5,3.8,278.31632,6.250513227,148.0076225,290.25,3.2,8.028,7.044,79.86,583.57,166.4919581,,,,,,
116,3.3,278.89632,6.250513227,147.4092802,291.42,3,7.044,5.645,80.44,583.57,133.3311567,,,,,,
116.5,2.9,278.93848,6.166004858,145.2674986,291.31,2.9,6.629,6.319,80.19,575.68,148.8265018,,,,,,
117,2.9,278.60406,6.090172252,143.6159074,290.73,2.8,6.992,4.92,80,568.6,116.3735243,,,,,,
117.5,2.7,278.81632,6.115771112,145.0667449,288.96,2.6,6.992,4.817,80.36,570.99,114.6221087,,,,,,
118,2.8,278.79406,6.115771112,144.945075,289.31,2.6,9.374,5.179,80.19,570.99,123.0144369,,,,,,
118.5,2.8,279.21848,6.227270748,146.7002664,291.46,2.7,9.374,8.701,80.47,581.4,204.2727638,,,,,,
119,3.1,279.16848,6.217952335,146.6421025,291.47,2.7,6.474,4.817,80.42,580.53,114.043905,,,,,,
119.5,3.4,279.10848,6.385683776,151.1371183,290.62,3.1,7.354,6.474,80.36,596.19,153.1976805,,,,,,
120,2.2,279.01798,0.579776687,117.7652752,33.77,1.9,6.474,4.506,80.56,54.13,905.8516768,,,,,,
122.5,1.8,278.93406,0.184333212,18.79287477,70.75,1.8,3.988,3.988,80.33,17.21,383.1063836,,,,,,
123,0.6,279.3324,0.384518438,31.00561937,85.2,0.6,7.095,3.677,80.73,35.9,293.2479382,,,,,,
123.5,1.9,279.44848,0.739475013,64.78808243,78.95,1,6.733,5.593,80.7,69.04,482.1420956,,,,,,
124,3,279.10406,1.077936925,67.15468539,112,2.7,6.94,6.733,80.5,100.64,409.5149012,,,,,,
124.5,3,278.9624,1.152377124,48.36044456,168.08,3,6.785,6.785,80.36,107.59,275.4713626,,,,,,
125,3,279.16848,1.184188259,34.05444011,249.74,2.7,7.924,5.334,80.42,110.56,146.7493697,,,,,,
125.5,3.4,278.47632,1.247596314,33.35485768,270.47,3.4,7.924,7.199,80.02,116.48,182.217693,,,,,,
126,3.8,279.10406,1.572562592,41.14149185,275.24,3.5,8.96,6.577,80.5,146.82,164.425735,,,,,,
126.5,3.6,278.8824,1.726262859,44.83112247,274.83,3.5,6.992,6.992,80.28,161.17,174.6428268,,,,,,
127,3.6,278.90406,1.46856053,38.52058467,274.53,3.4,6.836,6.319,80.3,137.11,158.234276,,,,,,
127.5,3.4,278.9624,1.439105775,37.59459889,275.15,3.3,8.028,6.008,80.36,134.36,150.1289119,,,,,,
128,3.2,278.90572,0.926914363,24.83226885,275.34,3.1,6.215,5.593,80.3,86.54,139.6578164,,,,,,
128.5,2.8,278.70632,1.070118026,28.12872927,274.88,2.7,6.422,6.422,80.25,99.91,159.9568038,,,,,,
129,3,279.13406,0.962902718,25.65144826,274.87,2.6,6.888,5.49,80.53,89.9,137.3385507,,,,,,
129.5,2.5,279.56732,0.847868511,22.56660034,274.39,2.5,5.697,5.076,80.53,79.16,127.2226445,,,,,,
130,2.7,278.9924,0.554070719,15.39610503,274.32,2.6,5.697,5.593,80.39,51.73,139.8965406,,,,,,
130.5,3.3,278.7924,0.705521713,19.48132758,274.69,3.1,6.785,5.593,80.19,65.87,139.9906457,,,,,,
131,3.6,278.7924,0.705521713,19.65636105,274.92,3.3,6.733,6.06,80.19,65.87,151.569928,,,,,,
131.5,3.5,279.2829,0.644148715,18.13747777,274.43,3.5,6.733,6.733,80.39,60.14,168.6753709,,,,,,
132,3.9,278.70632,0.772678555,21.46069712,275.41,3.8,7.82,7.095,80.25,72.14,176.8930393,,,,,,
132.5,3.8,278.67632,0.490769772,14.43541201,276.1,3.7,7.095,6.992,80.22,45.82,173.8495786,,,,,,
133,3.9,279.1324,0.296475498,9.777012186,274.94,3.7,7.872,7.613,80.53,27.68,190.2344802,,,,,,
133.5,4,278.90406,0.178763586,6.956506141,273.5,3.9,7.872,7.458,80.3,16.69,187.2919267,,,,,,
134,4,278.79848,0.144167637,6.081444694,274.78,3.8,9.115,8.131,80.05,13.46,202.9505458,,,,,,
136,3.9,278.67632,0.131207545,5.699141601,274.63,3.7,8.546,6.474,80.22,12.25,162.0608107,,,,,,
136.5,4,278.82406,0.085900776,4.649499245,274.25,3.9,8.287,7.458,80.22,8.02,186.7337943,,,,,,
137,4.4,278.8524,0.175764556,7.110280227,275.01,4.2,8.649,8.131,80.25,16.41,203.0744378,,,,,,
137.5,5.6,278.93406,0.597770864,18.30004059,274.42,4.8,10.358,9.012,80.33,55.81,226.0772119,,,,,,
138,5.6,279.2724,0.350886463,12.24965001,273.3,4.6,9.012,8.494,80.67,32.76,214.4009704,,,,,,
138.5,4.9,279.33406,0.484771713,15.34287231,268.63,4.6,7.82,7.82,80.73,45.26,200.6451352,,,,,,
139,5.6,278.96406,0.609766983,18.78342913,271.08,5.1,10.928,7.561,80.36,56.93,192.5676463,,,,,,
139.5,4.9,279.0724,0.926914363,26.16486757,272.42,4.8,10.358,9.115,80.47,86.54,229.9431895,,,,,,
140,5.8,278.6524,0.827303737,24.17392814,273.08,2.9,9.944,7.095,80.05,77.24,179.5479983,,,,,,
140.5,5.8,279.04406,1.170692626,32.73253523,273.03,5.2,9.944,9.685,80.44,109.3,244.1347069,,,,,,
141,6.2,279.03456,0.506621786,16.47043567,273.6,5.7,11.808,10.358,80.14,47.3,260.5529132,,,,,,
141.5,6,278.59632,0.776213125,23.10134548,272.07,5.1,9.478,8.649,80.14,72.47,218.950148,,,,,,
142,5.2,278.67632,0.776213125,22.69979525,270.69,4.7,8.649,8.39,80.22,72.47,213.1258095,,,,,,
142.5,4.5,278.74406,0.188724648,7.522735842,273.14,4.2,9.478,7.303,80.14,17.62,183.9024739,,,,,,
143,3.8,278.6224,0.094897865,4.743376607,274.28,3.4,8.079,6.215,80.02,8.86,155.7786078,,,,,,
143.5,3.5,278.74406,0,2.21184815,274.75,3.4,6.992,6.474,80.14,,161.7771,,,,,,
144,4.1,278.74406,0,2.591022118,274.1,3.4,7.924,7.561,80.14,,189.389585,,,,,,
144.5,4.1,278.82848,0,2.591022118,274.39,3.9,9.737,7.924,80.08,,198.2100179,,,,,,
145,4.1,278.53632,0,2.591022118,274.94,4,9.737,7.561,80.08,,188.6800855,,,,,,
145.5,4.1,278.76406,0,2.591022118,275.85,3.9,8.494,8.287,80.16,,206.0415581,,,,,,
146,4,278.9924,0,2.527826457,275.37,3.8,7.354,6.992,80.39,,174.6254505,,,,,,
146.5,3.9,278.80014,0,2.464630795,274.9,3.9,7.717,6.94,80.05,,173.4564862,,,,,,
147,3.5,278.71848,0,2.21184815,274.7,3.3,7.717,6.94,79.97,,173.2780775,,,,,,
147.5,3.4,278.85406,0,2.148652488,275.05,3.3,7.095,7.095,80.25,,176.8979463,,,,,,
148,4.4,278.70632,0,2.780609102,274.96,3.3,8.649,6.008,80.25,,150.7271885,,,,,,
148.5,4.8,278.74406,0.291227196,10.22647894,274.17,4.8,8.649,8.546,80.14,27.19,214.1130025,,,,,,
149,4.6,278.82406,0.388909874,12.52605661,273.87,4.1,9.685,9.219,80.22,36.31,230.924042,,,,,,
149.5,4.1,278.9324,0.733584062,20.71891937,274.22,4,8.079,6.785,80.33,68.49,170.2579457,,,,,,
150,4.7,278.99406,0.94555119,26.29108912,274.81,4.1,12.585,9.115,80.39,88.28,227.7808063,,,,,,
150.5,1.6,279.3024,1.374412422,293.9091177,31.84,1.4,6.888,4.972,80.7,128.32,1060.583038,,,,,,
151.5,1.3,278.59632,0.772035906,100.6170401,52.36,1.3,4.04,4.04,80.14,72.08,523.0431177,,,,,,
152,2,212.85346,1.361345222,116.0084786,61.35,1.8,6.681,5.076,80.5,127.1,429.1079343,,,,,,
152.5,2.3,212.85346,1.597304587,135.8893054,61.44,2.1,7.251,5.645,80.5,149.13,476.5602059,,,,,,
153,2.4,212.82346,1.728833456,146.4594189,61.67,2.1,7.044,5.749,80.47,161.41,483.5039642,,,,,,
153.5,2.2,213.05346,1.534967614,130.8906563,61.35,2.1,6.94,6.008,80.7,143.31,508.2662192,,,,,,
154,2.4,212.79346,1.563672612,133.2992865,61.34,2.3,6.111,4.92,80.44,145.99,416.1625373,,,,,,
154.5,2.2,212.96346,1.563672612,133.2351876,61.36,2.2,7.147,5.697,80.61,145.99,481.7468019,,,,,,
155,2.2,212.82346,1.511296702,129.465762,61.01,2,5.749,5.179,80.47,141.1,440.286779,,,,,,
155.5,2.6,212.82346,1.586058226,135.8562536,61.1,2.4,6.577,5.179,80.47,148.08,439.8930693,,,,,,
156,2.7,212.99346,1.787850074,153.0417342,61.13,2.4,6.681,5.179,80.64,166.92,440.0910859,,,,,,
156.5,2.4,212.79346,1.699700026,144.6933274,61.37,2.3,6.577,5.283,80.44,158.69,446.5376601,,,,,,
157,2.3,213.19346,1.602338672,137.1911936,61.14,2.1,6.785,5.386,80.84,149.6,457.7136087,,,,,,
157.5,2.6,213.24346,1.740186925,149.0686748,61.15,2.1,6.111,5.697,80.89,162.47,484.2829462,,,,,,
158,2.5,213.24346,1.797275596,153.1725931,61.42,2.1,7.872,5.801,80.89,167.8,490.8700503,,,,,,
158.5,2.3,212.96346,1.62268923,138.5874009,61.22,2.2,5.645,5.334,80.61,151.5,452.2312663,,,,,,
159,3.1,213.15904,1.608122515,137.6321538,61.38,2.7,7.769,7.044,80.95,150.14,596.2429119,,,,,,
159.5,2.6,212.79346,0.968900777,83.4999006,61.19,2.6,5.749,5.749,80.44,90.46,487.3427908,,,,,,
160,2.8,212.91346,0.397799855,35.28668472,61.39,2.4,5.438,5.076,80.56,37.14,429.4552523,,,,,,
160.5,2.1,212.77346,0.378306162,33.17051247,61.41,1.9,5.231,4.299,80.42,35.32,363.1895515,,,,,,
161,2,213.05346,0.303116206,26.8577255,61.3,1.9,4.402,4.04,80.7,28.3,342.3839179,,,,,,
161.5,2.3,212.63346,0.560390102,48.80844922,61.13,2.1,5.593,5.334,80.28,52.32,452.1953976,,,,,,
162,2.7,212.82346,0.69202608,59.9893012,61.39,2.2,5.801,5.386,80.47,64.61,455.3197315,,,,,,
