MD,WOB,RPM,TOR,MSE,ROP,WOB min,TOR max,TOR min,Rotary RPM,Diff,Surface MSE,Fm,top,bottom,ftype,Section,Start depth
27.5,0.2,149.38866,0.076261038,11.40468748,24.54,0.2,3.056,3.056,49.87,7.12,452.0802826,Overview,0,6517,None,17.5,0
32.5,0.8,139.76308,0.008889981,0.697398696,157.35,0.5,3.729,3.159,40.1,0.83,68.67238743,Section 17.5,0,537,None,12.25,537
33,0.9,140.17866,0.206397501,5.017397849,158,0.8,3.884,2.434,40.66,19.27,53.03055013,Section 12.25,537,2865,None,8.5,2865
33.5,1.2,140.42866,0.42072101,9.824840499,158.31,1.2,3.936,2.797,40.91,39.28,61.03339747,Section 8.5,2866.5,6517,None,,
34,1.7,140.42866,0.402726832,9.765123626,158.09,1.6,4.091,3.47,40.91,37.6,75.95651565,Overburden,0,1486.2,Shale,,
34.5,4.5,140.29308,1.616584063,37.83970489,157.44,1.7,8.131,4.402,40.63,150.93,98.13854131,Mercury Shale,1486.2,1855,Shale,,
35,2.4,140.51866,0.712162422,38.71290808,65.36,1.9,6.785,4.661,41,66.49,244.9605224,Upper Gemini Sand,1855,2208.9,Sand,,
35.5,2.4,139.89866,0.927021471,38.1735485,85.95,2.1,7.665,5.386,40.38,86.55,214.4932174,Middle Gemini Sand,2208.9,2412.5,Sand,,
36,2.4,140.96308,0.670497332,27.91528629,86.98,2.3,7.147,4.558,41.3,62.6,180.9727047,Lower Gemini Sand,2412.5,2800.5,Sand,,
36.5,2.5,140.20866,0.589523533,23.92627656,89.86,2.3,6.836,6.319,40.69,55.04,241.1068978,Aldrin Shale,2800.5,3438.8,Shale,,
37,2.7,140.32308,0.650253882,27.03148034,87.53,2.3,7.872,3.625,40.66,60.71,142.8878173,Nebula Sand,3438.8,3583.2,Sand,,
37.5,2.8,139.86866,0.666855653,35.08244674,68.02,2.4,4.868,4.454,40.35,62.26,224.2703447,Orion Sand,3583.2,3953.3,Sand,,
38,2.9,140.31866,0.514869117,39.95458521,46.04,2.2,5.645,3.418,40.8,48.07,254.9080432,Lovell Limestone,3953.3,3971.5,Limestone,,
38.5,2.5,144.89866,0.644255823,37.47545764,63.18,2.5,6.526,6.319,45.38,60.15,353.6513422,Shepard Shale,3971.5,3984.7,Shale,,
39,2.5,145.17866,0.65453821,40.39828488,59.47,2.3,5.749,5.231,45.66,61.11,311.8123767,Apollo Limestone,3984.7,4068,Limestone,,
39.5,2.5,145.54308,0.702629792,48.41939827,53.04,2.3,6.526,5.49,45.88,65.6,367.5605187,Armstrong Shale U,4068,4081.7,Shale,,
40,2.3,149.86866,0.587809802,31.90967814,70.27,2.1,5.645,5.127,50.35,54.88,267.0986525,Armstrong Shale M,4081.7,4142.4,Shale,,
40.5,3.9,150.77308,1.244918609,61.06107271,77.82,2.3,9.426,6.111,51.11,116.23,290.1001871,Armstrong Shale L,4142.4,6517,Shale,,
41,5.1,160.24308,1.813341826,722.0844076,9.82,2.1,11.342,7.354,60.58,169.3,2918.562421,,,,,,
41.5,4.6,160.17866,1.663818779,64.20144371,105.63,2.7,9.84,7.665,60.66,155.34,285.2826496,,,,,,
42,5,160.72308,2.540392288,87.435077,117.7,1.4,10.565,7.354,61.06,237.18,247.1223059,,,,,,
42.5,3.4,160.57866,2.387977319,73.6484233,130.29,1.2,11.29,4.402,61.06,222.95,133.9514082,,,,,,
43,2.9,160.26866,1.846116935,57.19279281,129.84,1.5,10.462,5.645,60.75,172.36,171.1111547,,,,,,
